"city","panaji","margao","chennai","vellore","trivandrum","kochi","bangalore","mysore","hyderabad","vishakhapatnam","cno"
"bangalore","591","574","336","212","732","548","0","143","576","991","7"
"chennai","948","930","0","139","774","692","336","483","626","795","3"
"hyderabad","696","693","626","622","1307","1123","576","724","0","618","9"
"kochi","1148","746","692","575","199","0","548","394","1123","1432","6"
"margao","36","0","930","802","1310","746","574","703","693","1369","2"
"mysore","675","703","483","346","674","394","143","0","724","1141","8"
"panaji","0","36","948","813","1327","1148","591","675","696","1137","1"
"trivandrum","1327","1310","774","760","0","199","732","674","1307","1561","5"
"vellore","813","802","139","0","760","575","212","346","622","860","4"
"vishakhapatnam","1137","1369","795","860","1561","1432","991","1141","618","0","10"
